Authors,Title,Year,Source title,Link,Document Type,Source
"Greenwood R., Hinings C.R.","Understanding radical organizational change: Bringing together the old and the new institutionalism",1996,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030511668&doi=10.5465%2fAMR.1996.9704071862&partnerID=40&md5=784c976e8077adf465103617410163d4",Article,Scopus
"Davenport T.H., De Long D.W., Beers M.C.","Successful knowledge management projects",1998,"Sloan Management Review",,,Scopus
"Malone T.W., Yates J., Benjamin R.I.","Electronic markets and electronic hierarchies",1987,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023366168&doi=10.1145%2f214762.214766&partnerID=40&md5=8235296007483e2fccca6c5394b2d516",Article,Scopus
"Redding S.G.",[No title available],1990,"The Spirit of Chinese Capitalism",,,Scopus
"Good B.J.",[No title available],1994,"Medicine, Rationality and Experience: An Anthropological Perspective",,,Scopus
"Cooper R.B., Zmud R.W.","Information technology implementation research: A technological diffusion approach",1990,"Management Science",,,Scopus
"Barney J.B.","Gaining and sustaining competitive advantage",1997,"Gaining and Sustaining Competitive Advantage",,,Scopus
"Blaikie P., Brookfield H.","Land degradation and society.",1986,"Land degradation and society.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040852586&partnerID=40&md5=e2242082624083c619a64394db153263",Article,Scopus
"Teece D.J.","Capturing value from knowledge assets: The new economy, markets for know-how, and intangible assets",1998,"California Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032388753&doi=10.2307%2f41165943&partnerID=40&md5=5cfaea2761150d85fb07e937833992a8",Article,Scopus
"Greenwood D.J., Levin M.",[No title available],1998,"Introduction to Action Research: Social Research for Social Change",,,Scopus
"Conner K.R.","A Historical Comparison of Resource-Based Theory and Five Schools of Thought Within Industrial Organization Economics: Do We Have a New Theory of the Firm?",1991,"Journal of Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970157680&doi=10.1177%2f014920639101700109&partnerID=40&md5=b39a20cebd59c48dd277a2c94b4fff6f",Article,Scopus
"Cook S.D.N., Brown J.S.","Bridging Epistemologies: The Generative Dance between Organizational Knowledge and Organizational Knowing",1999,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033422311&doi=10.1287%2forsc.10.4.381&partnerID=40&md5=659c8a8b127c2efbe1c0b5269e10f063",Article,Scopus
"Straub D.W.","Validating instruments in MIS research",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249123249&doi=10.2307%2f248922&partnerID=40&md5=cff830bd97d23612b45c2c258cf1efa3",Article,Scopus
"Turban E., Lee J., King D., Chung H.M.",[No title available],2000,"Electronic Commerce: A Managerial Perspective",,,Scopus
"Reed R., DeFillippi R.J.","Causal ambiguity, barriers to imitation, and sustainable competitive advantage",1990,"Academy of Management Review",,,Scopus
"Denzin N.K., Lincoln Y.S.",[No title available],1998,"Collecting and Interpreting Qualitative Materials",,,Scopus
"Tushman M.L., Romanelli E.","Organizational evolution: A metamorphosis model of convergence and reorientation",1985,"Research in Organizational Behavior",,,Scopus
"Iacovou C.L., Benbasat I., Dexter A.S.","Electronic data interchange and small organizations: Adoption and impact of technology",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749159243&doi=10.2307%2f249629&partnerID=40&md5=75f89dd253f7508a9155d64d2c79f917",Article,Scopus
"Milgrom P., Roberts J.","The economics of modern manufacturing: Technology, strategy, and organization",1990,"American Economic Review",,,Scopus
"Walsham G.",[No title available],1993,"Interpreting Information Systems in Organizations",,,Scopus
"Mata F.J., Fuerst W.L., Barney J.B.","Information technology and sustained competitive advantage: A resource-based analysis",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349102515&doi=10.2307%2f249630&partnerID=40&md5=16522dcaa049953d5db0403aa103cde8",Article,Scopus
"Bayly C.A.",[No title available],2004,"The Birth of the Modern World, 1780-1914: Global Connections and Comparisons",,,Scopus
"Markus M.L.","Power, Politics, and MIS Implementation",1983,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020765012&doi=10.1145%2f358141.358148&partnerID=40&md5=e01888a1628a4cbf8cb827561673183b",Article,Scopus
"Giddens A.",[No title available],1989,"Sociology",,,Scopus
"Dewar R.D., Dutton J.E.","The adoption of radical and incremental innovations: An empirical analysis",1986,"Management Science",,,Scopus
"Law J.","Notes on the theory of the actor-network: Ordering, strategy, and heterogeneity",1992,"Systems Practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000873944&doi=10.1007%2fBF01059830&partnerID=40&md5=76d224d3bf89772a312b2eeb7c5e839e",Article,Scopus
"Warschauer M.",[No title available],2003,"Technology and Social Inclusion: Rethinking the Digital Divide",,,Scopus
"Susman G.I., Evered R.D.","An assessment of the scientific merits of action research",1978,"Administrative Science Quarterly",,,Scopus
"Jepperson R.L.","Institutions, institutional effects, and institutionalism",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Garrison D.R., Anderson T.",[No title available],2003,"E-learning in the 21st Century: A Framework for Research and Practice",,,Scopus
