Authors,Title,Year,Source title,Link,Document Type,Source
"Cecchini S., Scott C.","Can information and communications technology applications contribute to poverty reduction? Lessons from rural India",2003,"Information Technology for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83055168110&doi=10.1002%2fitdj.1590100203&partnerID=40&md5=478f8b44d7d15d7109d3c626730c1c52",Article,Scopus
"Harvey F., Chrisman N.","Boundary objects and the social construction of GIS technology",1998,"Environment and Planning A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031785177&doi=10.1068%2fa301683&partnerID=40&md5=36d714a86075ebb31a380ece80a8e765",Article,Scopus
"Nicholson B., Sahay S.","Some political and cultural issues in the globalisation of software development: Case experience from Britain and India",2001,"Information and Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041469701&doi=10.1016%2fS0959-8022%2800%2900008-4&partnerID=40&md5=5ad1006779b40b59a250f0f64631ea47",Article,Scopus
"Austin J.E.",[No title available],1990,"Managing in Developing Countries: Strategic Analysis and Operating Techniques",,,Scopus
"Feder G., Slade R.","The acquisition of information and the adoption of new technology",1984,"American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021571946&doi=10.2307%2f1240798&partnerID=40&md5=3e6a55068d634b9819c753ea7a764fe3",Article,Scopus
"Rosero-Bixby L.","Spatial access to health care in Costa Rica and its equity: A GIS-based study",2004,"Social Science and Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0842283389&doi=10.1016%2fS0277-9536%2803%2900322-8&partnerID=40&md5=fe3ed56bdc56ac78efd445bb63854746",Article,Scopus
"Henderson J.C., Venkatraman N.","Strategic alignment: A model for organizational transformation through information technology",1992,"Transforming Organizations",,,Scopus
"Grimson J., Grimson W., Hasselbring W.","The SI challenge in health care",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011965429&doi=10.1145%2f336460.336474&partnerID=40&md5=c9421d9881f73642501d06144fb0f106",Article,Scopus
"Hanseth O., Jacucci E., Grisot M., Aanestad M.","Reflexive standardization: Side effects and complexity in standard making",2006,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645036966&doi=10.2307%2f25148773&partnerID=40&md5=fc5896f11c37b228e1251a80c5ebca0d",Article,Scopus
"Barua A., Mukhopadhyay T.","Information technology and business performance: Past, present and future",2000,"Framing the Domains of IT Management: Projecting the Future Through the Past",,,Scopus
"Helsen K., Jedidi K., DeSarbo W.S.","A new approach to country segmentation utilizing multinational diffusion patterns",1993,"Journal of Marketing",,,Scopus
"Hirschheim R., Sabherwal R.","Detours in the path toward strategic information systems alignment",2001,"California Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035730261&doi=10.2307%2f41166112&partnerID=40&md5=e2c45b5ee042a78b22dbd430390bdc6b",Article,Scopus
"Wang C.H., Gopal R.D., Zionts S.","Use of Data Envelopment Analysis in assessing Information Technology impact on firm performance",1997,"Annals of Operations Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031501336&doi=10.1023%2fa%3a1018977111455&partnerID=40&md5=c40f646632910c98dd375f64ec5361e4",Article,Scopus
"Mahajan V., Peterson R.A.","Innovation diffusion in a dynamic potential adopter population",1978,"Management Science",,,Scopus
"Barua A., Konana P., Whinston A.B., Yin F.","Driving e-business excellence",2001,"MIT Sloan Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012950495&partnerID=40&md5=261a8152188f0f8ca7f4a361dd2fac30",Article,Scopus
"Lee A.S.","Rigor and relevance in MIS research: Beyond the approach of positivism alone",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002851583&doi=10.2307%2f249407&partnerID=40&md5=8d3d2415804118b101243300356d6fd2",Review,Scopus
"Ramamurthy K., Premkumar G., Crum M.R.","Organizational and Interorganizational Determinants of EDI Diffusion and Organizational Performance: A Causal Model",1999,"Journal of Organizational Computing and Electronic Commerce","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000309139&doi=10.1207%2fS153277440904_2&partnerID=40&md5=923b75fd4e8540bd57bd2b0339bb37d2",Article,Scopus
"Zhu K.","Information transparency of business-to-business electronic markets: A game-theoretic analysis",2004,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942525472&doi=10.1287%2fmnsc.1040.0226&partnerID=40&md5=ca0d491d5ef6e0d2301776eaebf70120",Review,Scopus
"Peuquet D.J.","A conceptual framework and comparison of spatial data models.",1984,"Cartographica","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021550348&doi=10.3138%2fD794-N214-221R-23R5&partnerID=40&md5=60a9d14d3924094ac8d27c8e8f43ae2c",Article,Scopus
"Celler B.G., Lovell N.H., Basilakis J.","Using information technology to improve the management of chronic disease",2003,"Medical Journal of Australia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041470110&doi=10.5694%2fj.1326-5377.2003.tb05529.x&partnerID=40&md5=a3c9cbd159bec91b536e5fbeca45be54",Review,Scopus
"Markus M.L., Bjørn-Andersen N.","Power over users: Its exercise by system professionals",1987,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023364317&doi=10.1145%2f214762.214764&partnerID=40&md5=f1ab7d0b2089fc822002ba20827a6400",Article,Scopus
"Teo T.S.H., Ang J.S.K.","Critical success factors in the alignment of IS plans with business plans",1999,"International Journal of Information Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033115568&doi=10.1016%2fS0268-4012%2899%2900007-9&partnerID=40&md5=9234bc97ee1af12eb2284d60ac4adb2e",Article,Scopus
[No author name available],"Information technology",0000,"Information Technology",,,Scopus
"Dutton W.H.",[No title available],1996,"Information and Communication Technologies: Visions and Realities",,,Scopus
"Besley T., Case A.","Modeling technology adoption in developing countries",1993,"American Economic Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027842961&partnerID=40&md5=5e7e5e6d274c5ce37238fe5978d8f2a9",Article,Scopus
[No author name available],"E-Learning in Tertiary Education: Where Do We Stand?",2005,"E-learning in Tertiary Education: Where Do We Stand?",,,Scopus
"Avison D., Baskerville R., Myers M.","Controlling action research projects",2001,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986104554&doi=10.1108%2f09593840110384762&partnerID=40&md5=cc3a6169b880994bb034014f9d0b636e",Article,Scopus
"Lippeveld T., Sauerborn R., Bodart C.","Design and implementation of health information systems",2000,"Design and Implementation of Health Information Systems",,,Scopus
"Blackler F., Crump N., McDonald S.","Organizing Processes in Complex Activity Networks",2000,"Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346302278&doi=10.1177%2f135050840072005&partnerID=40&md5=605909f957abf0a9626a40fc71273d6d",Article,Scopus
"Watson-Verran H., Turnbull D.","Science and other indigenous knowledge systems",1995,"Handbook of Science and Technology Studies",,,Scopus
"Caudle S.L., Gorr W.L., Newcomer K.E.","Key information systems management issues for the public sector",1991,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349174739&doi=10.2307%2f249378&partnerID=40&md5=8f71c9c7088e67d4bc99d87354a58fa2",Article,Scopus
"Suchman L.","Technologies of accountability: Of lizards and aeroplanes",1993,"Technology in Working Order: Studies of Work, Interaction and Technology",,,Scopus
"Xu S., Zhu K., Gibbs J.","Global technology, local adoption: A cross-country investigation of internet adoption by companies in the United States and China",2004,"Electronic Markets",,,Scopus
"Pickles J.","Representations in an electronic age: Geography, GIS, and democracy",1995,"Ground Truth: The Social Implications of Geographic Information Systems",,,Scopus
"Galliers R.D., Land F.F.","Viewpoint: Choosing Appropriate Information Systems Research Methodologies",1987,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976814937&doi=10.1145%2f32206.315753&partnerID=40&md5=d92d41097dcf2fa11336422f9f212756",Article,Scopus
"Boland Jr. R.J.","The process and product of system design",1978,"Management Science",,,Scopus
"Avgerou C.","IT and organizational change: An institutionalist perspective",2000,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986135979&doi=10.1108%2f09593840010359464&partnerID=40&md5=6d425d5544ae926d7efcfb6c224ed6f0",Article,Scopus
[No author name available],"Making new technologies work for human development",2001,"Making New Technologies Work for Human Development",,,Scopus
"Applegate L.M., Elam J.J.","New information systems leaders: A changing role in a changing world",1992,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001633808&doi=10.2307%2f249732&partnerID=40&md5=77f65b92f89da3ae0685dda5fff2e4a8",Article,Scopus
[No author name available],"World Development Indicators on CD-ROM",2000,"World Development Indicators on CD-ROM",,,Scopus
"Backoff N., Wiseman C., Ullrich W.A.","Information systems for competitive advantage: Implementation of a planning process",1985,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249122550&doi=10.2307%2f249229&partnerID=40&md5=0d9225073c248c228322775fb0fe3914",Article,Scopus
"Madon S.","Evaluating the developmental impact of e-governance initiatives: An exploratory framework",2004,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Barrett M., Walsham G.","Electronic Trading and Work Transformation in the London Insurance Market",1999,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033462687&doi=10.1287%2fisre.10.1.1&partnerID=40&md5=531c7f9269e4c0b135bffd62f05a0dd1",Article,Scopus
"Gustavsen B.","Theory and practice: The mediating discourse",2001,"Handbook of Action Research: Participative Inquiry and Practice",,,Scopus
"World Bank",[No title available],2006,"Information and Communications for Development 2006: Global Trends and Policies",,,Scopus
"Asaro P.M.","Transforming society by transforming technology: The science and politics of participatory design",2000,"Accounting, Management and Information Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902435611&doi=10.1016%2fS0959-8022%2800%2900004-7&partnerID=40&md5=c9f9ed60e8a0fcf87d804ea12c11ccac",Article,Scopus
"Kallinikos J.","The Consequences of information: Institutional implications of technological Change",2006,"The Consequences of Information: Institutional Implications of Technological Change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548208852&partnerID=40&md5=0f842556575fcb2d59dda74c39c93874",Book,Scopus
"Luna-Reyes L.F., Zhang J., Gil-García J.R., Cresswell A.M.","Information systems development as emergent socio-technical change: A practice approach",2005,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18444400881&doi=10.1057%2fpalgrave.ejis.3000524&partnerID=40&md5=c33750889f82e7c1825f9622f6808dca",Article,Scopus
"Kling R.","Defining the boundaries of computing across complex organizations",1987,"Critical Issues in Information Systems Research",,,Scopus
"Pollock N., Cornford J.","ERP systems and the university as a “unique” organisation",2004,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986131951&doi=10.1108%2f09593840410522161&partnerID=40&md5=8c1036c9e1dcc1213b143e252802e29e",Article,Scopus
"Kallinikos J.","Deconstructing information packages: Organizational and behavioural implications of ERP systems",2004,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-14044278600&doi=10.1108%2f09593840410522152&partnerID=40&md5=7bf41b97f7bcdaba61b1d4f7649957c2",Article,Scopus
"Venkatraman N., Zaheer A.","Electronic integration and strategic advantage: A quasi-experimental study in the insurance industry",1990,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549108972&doi=10.1287%2fisre.1.4.377&partnerID=40&md5=6803ad7572ead1f7ae539f087cfc45a4",Article,Scopus
"Danaher P.J., Hardie B.G.S., Putsis Jr. W.P.","Marketing-mix variables and the diffusion of successive generations of a technological innovation",2001,"Journal of Marketing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035646780&doi=10.1509%2fjmkr.38.4.501.18907&partnerID=40&md5=d0f6686b1efa44c783b03e39bffcdffe",Article,Scopus
"De Figueiredo J.M.","Finding sustainable profitability in electronic commerce",2000,"Sloan Management Review",,,Scopus
"Avgerou C., Walsham G.",[No title available],2000,"Information Technology in Context: Studies from the Perspective of Developing Countries",,,Scopus
"Dewan S., Michael S.C., Min C.-K.","Firm Characteristics and Investments in Information Technology: Scale and Scope Effects",1998,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032333787&doi=10.1287%2fisre.9.3.219&partnerID=40&md5=6976a9477bbcfdbdd29546fc6142d561",Article,Scopus
"Clancey W.J.","Situated action: A neuropsychological interpretation response to Vera and Simon",1993,"Cognitive Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949172137&doi=10.1016%2fS0364-0213%2805%2980013-8&partnerID=40&md5=e90911682b67f3aed63783d33e845bf9",Article,Scopus
"Sein M.K., Harindranath G.","Conceptualizing the ICT artifact: Toward understanding the role of ICT in national development",2004,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1342311007&doi=10.1080%2f01972240490269942&partnerID=40&md5=53ffbc741f3129114a7f04cdd20f99f5",Article,Scopus
"Fonseca F., Egenhofer M., Davis C., Câmara G.","Semantic granularity in ontology-driven geographic information systems",2002,"Annals of Mathematics and Artificial Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036079940&doi=10.1023%2fA%3a1015808104769&partnerID=40&md5=7efb6a9c1d4b5062178ffa7902e7a731",Conference Paper,Scopus
"Bardram J.E.","Plans as situated action: An activity theory approach to workflow systems",1997,"Proceedings of European Conference on Computer-Supported Cooperative Work ECSCW '97, Lancaster, UK. September 9-12, 1997",,,Scopus
